dataset,it,size,implementation,step,time,clusters
1M_gz.dl980,1,990830,R,CreateSeuratObject,744.617300854,32
1M_gz.dl980,1,990830,R,NormalizeData,292.437607379,32
1M_gz.dl980,1,990830,R,FindVariableFeatures,1031.917370693,32
1M_gz.dl980,1,990830,R,ScaleData,282.179380456,32
1M_gz.dl980,1,990830,R,RunPCA,2183.575303691,32
1M_gz.dl980,1,990830,R,FindNeighbors,980.13633343,32
1M_gz.dl980,1,990830,R,FindClusters,7120.629840225,32
1M_gz.dl980,1,990830,R,RunUMAP,3616.549194464,32
1M_gz.dl980,1,990830,R,FindAllMarkers,346073.391180538,32
1M_gz.dl980,1,990830,jl,CreateSeuratObject,87.665977789,32
1M_gz.dl980,1,990830,jl,NormalizeData,219.655863126,32
1M_gz.dl980,1,990830,jl,FindVariableFeatures,51.093096042,32
1M_gz.dl980,1,990830,jl,ScaleData,24.453409514,32
1M_gz.dl980,1,990830,jl,RunPCA,3038.642589734,32
1M_gz.dl980,1,990830,jl,FindNeighbors,144.700834269,32
1M_gz.dl980,1,990830,jl,FindClusters,2530.633678296,32
1M_gz.dl980,1,990830,jl,RunUMAP,5347.961487344,32
1M_gz.dl980,1,990830,jl,FindAllMarkers,4105.344750098,32
1M_gz,1,990830,R,CreateSeuratObject,744.617300854,32
1M_gz,1,990830,R,NormalizeData,292.437607379,32
1M_gz,1,990830,R,FindVariableFeatures,1031.917370693,32
1M_gz,1,990830,R,ScaleData,282.179380456,32
1M_gz,1,990830,R,RunPCA,2183.575303691,32
1M_gz,1,990830,R,FindNeighbors,980.13633343,32
1M_gz,1,990830,R,FindClusters,7120.629840225,32
1M_gz,1,990830,R,RunUMAP,3616.549194464,32
1M_gz,1,990830,R,FindAllMarkers,346073.391180538,32
1M_gz,1,990830,jl,CreateSeuratObject,56.882385973,33
1M_gz,1,990830,jl,NormalizeData,64.263278564,33
1M_gz,1,990830,jl,FindVariableFeatures,29.229417731,33
1M_gz,1,990830,jl,ScaleData,8.107362293,33
1M_gz,1,990830,jl,RunPCA,1207.788788854,33
1M_gz,1,990830,jl,FindNeighbors,77.581809711,33
1M_gz,1,990830,jl,FindClusters,1522.276119461,33
1M_gz,1,990830,jl,RunUMAP,1971.26082951,33
1M_gz,1,990830,jl,FindAllMarkers,2492.153570514,33
1M_gz,1,990830,py,CreateSeuratObject,72.814417233,20
1M_gz,1,990830,py,NormalizeData,49.804885131,20
1M_gz,1,990830,py,FindVariableFeatures,404.479045927,20
1M_gz,1,990830,py,ScaleData,28.597887593,20
1M_gz,1,990830,py,RunPCA,231.527184605,20
1M_gz,1,990830,py,FindNeighbors,196.969652119,20
1M_gz,1,990830,py,FindClusters,1766.829031861,20
1M_gz,1,990830,py,RunUMAP,2379.595194831,20
1M_gz,1,990830,py,FindAllMarkers,30214.499130848,20
210129_raw_BALPBMC.h5ad,1,523041,R,CreateSeuratObject,125.541193036,36
210129_raw_BALPBMC.h5ad,1,523041,R,NormalizeData,43.852674984,36
210129_raw_BALPBMC.h5ad,1,523041,R,FindVariableFeatures,148.291676042,36
210129_raw_BALPBMC.h5ad,1,523041,R,ScaleData,61.253059786,36
210129_raw_BALPBMC.h5ad,1,523041,R,RunPCA,503.003963041,36
210129_raw_BALPBMC.h5ad,1,523041,R,FindNeighbors,219.655977698,36
210129_raw_BALPBMC.h5ad,1,523041,R,FindClusters,701.057962726,36
210129_raw_BALPBMC.h5ad,1,523041,R,RunUMAP,839.565439636,36
210129_raw_BALPBMC.h5ad,1,523041,R,FindAllMarkers,133931.157332302,36
210129_raw_BALPBMC.h5ad,1,523041,jl,CreateSeuratObject,25.536317751,36
210129_raw_BALPBMC.h5ad,1,523041,jl,NormalizeData,19.548151188,36
210129_raw_BALPBMC.h5ad,1,523041,jl,FindVariableFeatures,10.264712812,36
210129_raw_BALPBMC.h5ad,1,523041,jl,ScaleData,2.536209805,36
210129_raw_BALPBMC.h5ad,1,523041,jl,RunPCA,277.054615909,36
210129_raw_BALPBMC.h5ad,1,523041,jl,FindNeighbors,33.145011744,36
210129_raw_BALPBMC.h5ad,1,523041,jl,FindClusters,444.540400507,36
210129_raw_BALPBMC.h5ad,1,523041,jl,RunUMAP,948.381458394,36
210129_raw_BALPBMC.h5ad,1,523041,jl,FindAllMarkers,1131.651938277,36
210129_raw_BALPBMC.h5ad,1,523041,py,CreateSeuratObject,23.549683216,21
210129_raw_BALPBMC.h5ad,1,523041,py,NormalizeData,16.315128362,21
210129_raw_BALPBMC.h5ad,1,523041,py,FindVariableFeatures,88.942473708,21
210129_raw_BALPBMC.h5ad,1,523041,py,ScaleData,29.021085348,21
210129_raw_BALPBMC.h5ad,1,523041,py,RunPCA,135.114474111,21
210129_raw_BALPBMC.h5ad,1,523041,py,FindNeighbors,95.15697324,21
210129_raw_BALPBMC.h5ad,1,523041,py,FindClusters,397.217888329,21
210129_raw_BALPBMC.h5ad,1,523041,py,RunUMAP,1088.564753937,21
210129_raw_BALPBMC.h5ad,1,523041,py,FindAllMarkers,22729.67056,21
3k,1,2700,R,CreateSeuratObject,0.834483842,7
3k,1,2700,R,NormalizeData,0.203806575,7
3k,1,2700,R,FindVariableFeatures,0.685889189,7
3k,1,2700,R,ScaleData,0.797126941,7
3k,1,2700,R,RunPCA,4.003258744,7
3k,1,2700,R,FindNeighbors,0.855543305,7
3k,1,2700,R,FindClusters,0.331823559,7
3k,1,2700,R,RunUMAP,5.330457867,7
3k,1,2700,R,FindAllMarkers,17.582070669,7
3k,1,2700,jl,CreateSeuratObject,0.053212305,7
3k,1,2700,jl,NormalizeData,0.040736169,7
3k,1,2700,jl,FindVariableFeatures,0.23897609,7
3k,1,2700,jl,ScaleData,0.012432098,7
3k,1,2700,jl,RunPCA,2.151228927,7
3k,1,2700,jl,FindNeighbors,0.092935093,7
3k,1,2700,jl,FindClusters,0.199414962,7
3k,1,2700,jl,RunUMAP,3.973110893,7
3k,1,2700,jl,FindAllMarkers,1.182106104,7
3k,1,2700,jl32,CreateSeuratObject,0.070545514,7
3k,1,2700,jl32,NormalizeData,0.036194063,7
3k,1,2700,jl32,FindVariableFeatures,0.208402285,7
3k,1,2700,jl32,ScaleData,0.011660382,7
3k,1,2700,jl32,RunPCA,1.132951868,7
3k,1,2700,jl32,FindNeighbors,0.12913986,7
3k,1,2700,jl32,FindClusters,0.162784163,7
3k,1,2700,jl32,RunUMAP,10.616605885,7
3k,1,2700,jl32,FindAllMarkers,0.899998981,7
3k,1,2700,py,CreateSeuratObject,0.374083355,4
3k,1,2700,py,NormalizeData,0.120851234,4
3k,1,2700,py,FindVariableFeatures,1.991864298,4
3k,1,2700,py,ScaleData,0.131047109,4
3k,1,2700,py,RunPCA,1.830826277,4
3k,1,2700,py,FindNeighbors,32.207122494,4
3k,1,2700,py,FindClusters,0.266168082,4
3k,1,2700,py,RunUMAP,11.316526275,4
3k,1,2700,py,FindAllMarkers,12.090076076,4
l5_all,1,160601,R,CreateSeuratObject,45.373844267,55
l5_all,1,160601,R,NormalizeData,16.147168312,55
l5_all,1,160601,R,FindVariableFeatures,50.265603619,55
l5_all,1,160601,R,ScaleData,19.090687862,55
l5_all,1,160601,R,RunPCA,122.579617763,55
l5_all,1,160601,R,FindNeighbors,47.358405143,55
l5_all,1,160601,R,FindClusters,76.423910599,55
l5_all,1,160601,R,RunUMAP,181.01529084,55
l5_all,1,160601,R,FindAllMarkers,43389.824092757,55
l5_all,1,160601,jl,CreateSeuratObject,10.180151433,54
l5_all,1,160601,jl,NormalizeData,6.984634052,54
l5_all,1,160601,jl,FindVariableFeatures,6.112345109,54
l5_all,1,160601,jl,ScaleData,1.627876613,54
l5_all,1,160601,jl,RunPCA,100.1605542,54
l5_all,1,160601,jl,FindNeighbors,6.139415958,54
l5_all,1,160601,jl,FindClusters,70.534756316,54
l5_all,1,160601,jl,RunUMAP,379.776607229,54
l5_all,1,160601,jl,FindAllMarkers,662.139832292,54
l5_all,1,160601,py,CreateSeuratObject,8.883314887,44
l5_all,1,160601,py,NormalizeData,6.292731028,44
l5_all,1,160601,py,FindVariableFeatures,25.56358727,44
l5_all,1,160601,py,ScaleData,4.087600462,44
l5_all,1,160601,py,RunPCA,45.758038633,44
l5_all,1,160601,py,FindNeighbors,16.324249537,44
l5_all,1,160601,py,FindClusters,47.474581257,44
l5_all,1,160601,py,RunUMAP,571.291466313,44
l5_all,1,160601,py,FindAllMarkers,8215.653002177,44
pbmc_68k,1,68551,R,CreateSeuratObject,8.356652504,28
pbmc_68k,1,68551,R,NormalizeData,2.506601282,28
pbmc_68k,1,68551,R,FindVariableFeatures,6.653471112,28
pbmc_68k,1,68551,R,ScaleData,7.330431262,28
pbmc_68k,1,68551,R,RunPCA,83.858795591,28
pbmc_68k,1,68551,R,FindNeighbors,26.057302583,28
pbmc_68k,1,68551,R,FindClusters,23.210984969,28
pbmc_68k,1,68551,R,RunUMAP,95.715382282,28
pbmc_68k,1,68551,R,FindAllMarkers,2353.686982353,28
pbmc_68k,1,68551,jl,CreateSeuratObject,1.744310758,29
pbmc_68k,1,68551,jl,NormalizeData,1.304570446,29
pbmc_68k,1,68551,jl,FindVariableFeatures,2.844193322,29
pbmc_68k,1,68551,jl,ScaleData,0.577701304,29
pbmc_68k,1,68551,jl,RunPCA,43.329237087,29
pbmc_68k,1,68551,jl,FindNeighbors,5.081581551,29
pbmc_68k,1,68551,jl,FindClusters,27.124017704,29
pbmc_68k,1,68551,jl,RunUMAP,111.649407329,29
pbmc_68k,1,68551,jl,FindAllMarkers,31.887360542,29
pbmc_68k,1,68551,jl32,CreateSeuratObject,1.508873832,29
pbmc_68k,1,68551,jl32,NormalizeData,0.892384095,29
pbmc_68k,1,68551,jl32,FindVariableFeatures,0.757189996,29
pbmc_68k,1,68551,jl32,ScaleData,0.08805182,29
pbmc_68k,1,68551,jl32,RunPCA,11.232547502,29
pbmc_68k,1,68551,jl32,FindNeighbors,4.109994788,29
pbmc_68k,1,68551,jl32,FindClusters,21.262707862,29
pbmc_68k,1,68551,jl32,RunUMAP,121.801156973,29
pbmc_68k,1,68551,jl32,FindAllMarkers,24.525058005,29
pbmc_68k,1,68551,py,CreateSeuratObject,1.472474272,19
pbmc_68k,1,68551,py,NormalizeData,0.942754962,19
pbmc_68k,1,68551,py,FindVariableFeatures,3.849177519,19
pbmc_68k,1,68551,py,ScaleData,1.798617717,19
pbmc_68k,1,68551,py,RunPCA,22.940859077,19
pbmc_68k,1,68551,py,FindNeighbors,23.057841275,19
pbmc_68k,1,68551,py,FindClusters,12.24108523,19
pbmc_68k,1,68551,py,RunUMAP,219.673650219,19
pbmc_68k,1,68551,py,FindAllMarkers,1280.746000693,19
